tensor(39.9800, device='cuda:0')
tensor(40.7038, device='cuda:0')
tensor(40.0109, device='cuda:0')
tensor(40.0153, device='cuda:0')
tensor(40.1827, device='cuda:0')
tensor(40.2050, device='cuda:0')
tensor(39.9708, device='cuda:0')
tensor(39.9661, device='cuda:0')
tensor(39.9480, device='cuda:0')
tensor(42.5635, device='cuda:0')
tensor(39.9188, device='cuda:0')
tensor(39.9756, device='cuda:0')
tensor(39.9865, device='cuda:0')
tensor(39.9352, device='cuda:0')
tensor(39.9790, device='cuda:0')
tensor(39.9957, device='cuda:0')
tensor(40.0168, device='cuda:0')
tensor(40.0528, device='cuda:0')
tensor(40.0247, device='cuda:0')
tensor(40.0752, device='cuda:0')
tensor(40.0498, device='cuda:0')
tensor(40.0712, device='cuda:0')
tensor(40.0146, device='cuda:0')
tensor(39.9929, device='cuda:0')
tensor(41.1573, device='cuda:0')
tensor(41.1596, device='cuda:0')
tensor(39.8764, device='cuda:0')
tensor(39.9123, device='cuda:0')
tensor(39.9295, device='cuda:0')
tensor(39.9783, device='cuda:0')
tensor(40.0054, device='cuda:0')
tensor(39.9599, device='cuda:0')
tensor(42.9771, device='cuda:0')
tensor(39.9354, device='cuda:0')
tensor(39.8232, device='cuda:0')
tensor(39.9060, device='cuda:0')
tensor(39.9606, device='cuda:0')
tensor(39.9867, device='cuda:0')
tensor(40.1200, device='cuda:0')
tensor(40.0172, device='cuda:0')
tensor(42.2098, device='cuda:0')
tensor(39.9565, device='cuda:0')
tensor(40.0497, device='cuda:0')
tensor(40.0722, device='cuda:0')
tensor(40.1096, device='cuda:0')
tensor(40.0183, device='cuda:0')
tensor(40.0263, device='cuda:0')
tensor(40.0477, device='cuda:0')
tensor(41.5654, device='cuda:0')
tensor(39.9101, device='cuda:0')
tensor(39.8950, device='cuda:0')
tensor(39.9741, device='cuda:0')
tensor(39.9856, device='cuda:0')
tensor(39.9582, device='cuda:0')
tensor(39.9915, device='cuda:0')
tensor(39.9845, device='cuda:0')
tensor(43.4946, device='cuda:0')
tensor(40.0029, device='cuda:0')
tensor(39.9056, device='cuda:0')
tensor(39.8750, device='cuda:0')
tensor(39.9118, device='cuda:0')
tensor(39.8856, device='cuda:0')
tensor(40.0386, device='cuda:0')
tensor(41.3017, device='cuda:0')
tensor(41.2791, device='cuda:0')
tensor(40.0026, device='cuda:0')
tensor(40.1131, device='cuda:0')
tensor(40.0002, device='cuda:0')
tensor(40.0009, device='cuda:0')
tensor(40.0987, device='cuda:0')
tensor(40.1576, device='cuda:0')
tensor(41.2767, device='cuda:0')
tensor(39.9181, device='cuda:0')
tensor(39.8640, device='cuda:0')
tensor(39.9261, device='cuda:0')
tensor(40.0096, device='cuda:0')
tensor(40.1058, device='cuda:0')
tensor(40.0494, device='cuda:0')
tensor(39.9831, device='cuda:0')
tensor(40.2203, device='cuda:0')
tensor(40.0339, device='cuda:0')
tensor(40.0746, device='cuda:0')
tensor(39.9813, device='cuda:0')
tensor(40.1809, device='cuda:0')
tensor(40.2913, device='cuda:0')
tensor(40.1238, device='cuda:0')
tensor(40.0012, device='cuda:0')
tensor(40.5449, device='cuda:0')
tensor(39.9046, device='cuda:0')
tensor(39.8701, device='cuda:0')
tensor(40.1461, device='cuda:0')
tensor(40.2585, device='cuda:0')
tensor(40.0121, device='cuda:0')
tensor(40.0416, device='cuda:0')
tensor(39.9132, device='cuda:0')
tensor(40.0677, device='cuda:0')
tensor(40.0069, device='cuda:0')
tensor(39.9920, device='cuda:0')
tensor(40.0603, device='cuda:0')
tensor(40.0859, device='cuda:0')
tensor(40.0831, device='cuda:0')
tensor(40.0144, device='cuda:0')
tensor(40.0464, device='cuda:0')
tensor(40.0309, device='cuda:0')
tensor(40.0246, device='cuda:0')
tensor(40.0111, device='cuda:0')
tensor(40.0192, device='cuda:0')
tensor(39.9972, device='cuda:0')
tensor(40.0869, device='cuda:0')
tensor(39.9860, device='cuda:0')
tensor(40.0215, device='cuda:0')
tensor(40.2890, device='cuda:0')
tensor(39.9216, device='cuda:0')
tensor(39.9481, device='cuda:0')
tensor(39.9941, device='cuda:0')
tensor(40.0753, device='cuda:0')
tensor(39.9828, device='cuda:0')
tensor(40.0233, device='cuda:0')
tensor(40.8469, device='cuda:0')
tensor(39.9350, device='cuda:0')
tensor(39.8898, device='cuda:0')
tensor(39.7654, device='cuda:0')
tensor(40.0232, device='cuda:0')
tensor(39.9766, device='cuda:0')
tensor(39.9480, device='cuda:0')
tensor(40.0454, device='cuda:0')
tensor(40.0508, device='cuda:0')
tensor(39.9385, device='cuda:0')
tensor(40.0473, device='cuda:0')
tensor(40.0972, device='cuda:0')
tensor(40.0336, device='cuda:0')
tensor(39.9783, device='cuda:0')
tensor(40.1601, device='cuda:0')
tensor(40.0340, device='cuda:0')
tensor(42.1543, device='cuda:0')
tensor(39.9161, device='cuda:0')
tensor(39.8430, device='cuda:0')
tensor(39.9094, device='cuda:0')
tensor(39.8989, device='cuda:0')
tensor(39.9574, device='cuda:0')
tensor(40.0539, device='cuda:0')
tensor(39.9549, device='cuda:0')
tensor(41.8937, device='cuda:0')
tensor(39.8950, device='cuda:0')
tensor(39.9260, device='cuda:0')
tensor(40.0434, device='cuda:0')
tensor(40.0204, device='cuda:0')
tensor(40.0345, device='cuda:0')
tensor(40.0399, device='cuda:0')
tensor(40.6813, device='cuda:0')
tensor(40.7434, device='cuda:0')
tensor(40.6045, device='cuda:0')
tensor(40.6956, device='cuda:0')
tensor(39.8944, device='cuda:0')
tensor(39.8948, device='cuda:0')
tensor(39.8845, device='cuda:0')
tensor(39.9202, device='cuda:0')
tensor(41.3901, device='cuda:0')
tensor(39.9472, device='cuda:0')
tensor(39.8670, device='cuda:0')
tensor(39.8675, device='cuda:0')
tensor(39.9222, device='cuda:0')
tensor(39.8797, device='cuda:0')
tensor(39.9151, device='cuda:0')
tensor(40.0187, device='cuda:0')
tensor(39.9683, device='cuda:0')
tensor(40.1883, device='cuda:0')
tensor(39.9660, device='cuda:0')
tensor(39.9501, device='cuda:0')
tensor(39.9473, device='cuda:0')
tensor(39.9888, device='cuda:0')
tensor(40.1030, device='cuda:0')
tensor(40.0153, device='cuda:0')
tensor(40.6284, device='cuda:0')
tensor(39.9577, device='cuda:0')
tensor(40.0324, device='cuda:0')
tensor(40.0323, device='cuda:0')
tensor(40.0706, device='cuda:0')
tensor(40.0035, device='cuda:0')
tensor(43.8109, device='cuda:0')
tensor(43.7746, device='cuda:0')
tensor(40.7797, device='cuda:0')
tensor(39.9642, device='cuda:0')
tensor(39.9399, device='cuda:0')
